Product,Historical_Demand,MC_Mean_Demand,Expected_Sold,Std_Sold,P5_Sold,P95_Sold,Expected_Unmet,Fare,Legs,Tasks,Assigned_Fleets
P000406,17.67,14.8,14.8,4.4,11.0,21.4,0.0,334.0,AA0055BODCSX,,
P000409,0.88,0.4,0.4,0.49,0.0,1.0,0.0,301.0,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F16C0Y165 -> F12C12Y48
P000412,0.72,0.8,0.8,0.4,0.2,1.0,0.0,339.0,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F16C0Y165 -> F12C12Y48
P000417,0.42,0.6,0.6,1.2,0.0,2.4,0.0,334.0,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F16C0Y165 -> F12C12Y48
P000422,2.01,2.8,2.8,1.72,0.4,4.8,0.0,238.0,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F12C12Y48 -> F0C0Y76
P000423,0.72,0.6,0.6,0.49,0.0,1.0,0.0,339.0,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F12C12Y48 -> F0C0Y76
P000428,5.27,4.4,4.4,1.85,3.0,7.2,0.0,334.0,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F12C12Y48 -> F0C0Y76
P000429,0.36,0.2,0.2,0.4,0.0,0.8,0.0,491.0,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000430,5.64,5.8,5.8,0.75,5.0,6.8,0.0,235.0,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000431,0.3,0.0,0.0,0.0,0.0,0.0,0.0,412.0,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000437,0.1,0.2,0.2,0.4,0.0,0.8,0.0,189.0,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000438,1.02,0.8,0.8,0.75,0.0,1.8,0.0,258.0,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000439,0.96,1.2,1.2,0.98,0.2,2.6,0.0,426.0,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000441,0.64,0.6,0.6,0.49,0.0,1.0,0.0,235.0,AA0080BODTFB -> AA0524TFBCVS,AA0080 -> AA0524,F0C0Y76 -> F16C0Y165
P000448,0.1,0.6,0.6,0.49,0.0,1.0,0.0,189.0,AA0080BODTFB -> AA0524TFBCVS,AA0080 -> AA0524,F0C0Y76 -> F16C0Y165
