Leg,Expected_Shadow_Price,Std_Shadow_Price,P5_Shadow_Price,P95_Shadow_Price
BA2371HFHTFB,16.64,2.0333,14.4,19.28
AA3477MHCTFB,14.6,0.0,14.6,14.6
BA2473TFBQEY,0.0,0.0,0.0,0.0
AA0501TOBTFB,6.12,7.6604,0.0,16.8
BA2103QTDTFB,12.92,0.7756,11.76,13.52
AA0054TDDBOD,0.0,0.0,0.0,0.0
BA2242TFBZWS,11.88,6.2143,2.32,16.88
BA2380TFBZZK,0.0,0.0,0.0,0.0
BA2502CPJQEY,2.4,4.8,0.0,9.6
AA0051BODGBJ,20.72,4.1658,16.56,26.92
BA2574PBLQEY,0.0,0.0,0.0,0.0
AA0049BODBER,2.68,5.36,0.0,10.72
BA2514CPJQEY,0.92,1.84,0.0,3.68
BA2636PBLQEY,2.96,5.92,0.0,11.84
AA0520TFBCVS,20.8,2.2127,17.92,22.6
BA2348TFBNTP,0.0,0.0,0.0,0.0
AA0055TDDCSX,0.0,0.0,0.0,0.0
BA2215QVXTFB,2.36,4.72,0.0,9.44
AA0153BODPUA,0.0,0.0,0.0,0.0
BA2538CPJQEY,0.0,0.0,0.0,0.0
AA0711MBYZWS,23.2,0.0,23.2,23.2
AA0633QIYTFB,21.92,0.3919,21.6,22.4
BA2635TFBQEY,5.04,1.8391,2.8,6.76
AA0820PHHTNG,48.56,2.88,44.24,50.0
BA2215MXTQVX,0.0,0.0,0.0,0.0
BA2014QEYTFB,10.2,0.0,10.2,10.2
AA0859TFBIOM,37.4,3.012,34.4,41.0
BA2426TFBCPJ,14.32,1.6999,12.4,16.2
AA0349PBLTFB,12.96,6.48,3.24,16.2
AA0076KOVTFB,0.0,0.0,0.0,0.0
AA0066ZBLKOV,0.0,0.0,0.0,0.0
BA2044QEYTFB,0.0,0.0,0.0,0.0
AA0451MBYTFB,17.0,1.2,15.2,17.6
AA0836IOMPBL,28.96,14.48,7.24,36.2
AA0324TFBTKD,17.2,0.0,17.2,17.2
AA3488QEYCVS,6.8,8.3283,0.0,17.0
AA3451CVSQEY,17.56,4.4639,12.12,23.6
BA2268TFBCPJ,2.32,4.64,0.0,9.28
AA0095TFBBOD,46.24,3.3188,41.4,49.6
BA2490TFBCMJ,0.0,0.0,0.0,0.0
AA0061DEWBOD,0.0,0.0,0.0,0.0
AA0810LPBTFB,38.08,2.7672,35.28,41.96
AA0368TFBTNG,18.44,3.6909,13.52,23.08
BA2478QEYTFB,0.0,0.0,0.0,0.0
BA2232QEYZWS,1.04,2.08,0.0,4.16
BA2217MXTCPJ,0.0,0.0,0.0,0.0
BA2638PBLTFB,16.2,0.0,16.2,16.2
BA2644QEYFVH,0.8,1.6,0.0,3.2
BA2162QEYTFB,0.8,1.6,0.0,3.2
AA0126GBJTFB,0.0,0.0,0.0,0.0
AA0313TGPTFB,13.28,6.64,3.32,16.6
AA3491GBUTFB,22.56,1.28,20.64,23.2
AA0025CPTTFB,29.4,1.4697,28.2,31.2
BA2049HFHQEY,11.2,0.0,11.2,11.2
AA0865TKDMJI,35.4,0.0,35.4,35.4
