Product,Demand,Historical_Demand,Sold,Unmet,Fare,Revenue,Legs,Tasks,Assigned_Fleets,Bottleneck_Leg,Bottleneck_Shadow_Price
P013183,7.0,6.26,7.0,0.0,287.0,2009.0,AA0686QEYPSE,AA0686,F16C0Y165,AA0686QEYPSE,26.44
P045460,25.4,26.69,25.4,0.0,79.0,2006.6,BA2589QEYPBL,BA2589,F0C0Y76,BA2589QEYPBL,0.0
P039953,22.8,22.19,22.8,0.0,88.0,2006.4,AA3476TFBMHC,AA3476,F0C0Y76,AA3476TFBMHC,11.68
P017395,9.2,10.0,9.2,0.0,218.0,2005.6,AA0016TFBNJB,AA0016,F16C0Y165,AA0016TFBNJB,6.6
P016257,6.0,4.9,6.0,0.0,334.0,2004.0,AA0093TFBBOD,AA0093,F16C0Y165,AA0093TFBBOD,25.36
P004523,3.8,4.85,3.8,0.0,527.0,2002.6,AA0123TFBGBJ -> AA0001EDBTFB,AA0123 -> AA0001,F16C0Y165 -> F16C0Y165,AA0123TFBGBJ,53.72
P019837,13.0,11.05,13.0,0.0,154.0,2002.0,AA0325TKDTFB,AA0325,F16C0Y165,AA0325TKDTFB,4.2
P012966,15.4,17.67,12.2,3.2,164.0,2000.8,AA0137QEYBOD,AA0137,F16C0Y165,AA0137QEYBOD,29.84
P025246,17.6,13.87,16.0,1.6,125.0,2000.0,AA3451CVSQEY,AA3451,F0C0Y76,AA3451CVSQEY,17.56
P002428,14.4,13.52,10.2,4.2,196.0,1999.2,AA0096BODTFB -> AA0638TFBQIY,AA0096 -> AA0638,F0C0Y76 -> F16C0Y165,AA0096BODTFB,12.6
P021637,6.0,6.38,6.0,0.0,333.0,1998.0,AA0503TOBTFB,AA0503,F16C0Y165,AA0503TOBTFB,10.68
P032080,10.8,11.26,10.8,0.0,185.0,1998.0,AA0759NDJTFB,AA0759,F16C0Y165,AA0759NDJTFB,20.08
P007116,8.6,9.66,8.6,0.0,232.0,1995.2,AA0073KOVBOD,super_AA0073,F0C0Y76,AA0073KOVBOD,19.28
P039842,5.8,7.22,5.8,0.0,344.0,1995.2,AA0730TFBJBI,super_AA0730,F16C0Y165,AA0730TFBJBI,23.4
P046426,11.6,9.9,11.6,0.0,172.0,1995.2,BA2542TFBZFH,BA2542,F0C0Y76,BA2542TFBZFH,13.4
P008744,11.2,8.49,11.2,0.0,178.0,1993.6,AA0619MBTTFB,AA0619,F16C0Y165,AA0619MBTTFB,22.96
P033507,24.6,23.93,17.0,7.6,117.0,1989.0,AA3463POUQEY,AA3463,F0C0Y76,AA3463POUQEY,22.72
P046433,10.2,9.57,10.2,0.0,195.0,1989.0,BA2580TFBZFH,BA2580,F0C0Y76,BA2580TFBZFH,17.32
P008186,10.8,12.39,10.8,0.0,184.0,1987.2,AA0647MBTCMJ,AA0647,F16C0Y165,AA0647MBTCMJ,21.0
P046452,7.6,7.16,7.6,0.0,261.0,1983.6,BA2584TFBZFH,BA2584,F0C0Y76,BA2584TFBZFH,27.44
P017930,7.4,5.5,7.4,0.0,268.0,1983.2,AA0220TFBTGP,super_AA0220,F0C0Y76,AA0220TFBTGP,25.04
P018021,11.2,11.33,11.2,0.0,177.0,1982.4,AA0067TFBTJU,,,AA0067TFBTJU,0.0
P014700,10.6,8.71,10.6,0.0,187.0,1982.2,AA0549QTQTFB,AA0549,F16C0Y165,AA0549QTQTFB,27.2
P020070,10.6,11.19,10.6,0.0,187.0,1982.2,AA0233TKETBO,super_AA0233,F16C0Y165,AA0233TKETBO,3.56
P041262,19.4,19.52,19.4,0.0,102.0,1978.8,BA2500TGPQEY,BA2500,F0C0Y76,BA2500TGPQEY,16.2
P018312,19.2,20.7,19.2,0.0,103.0,1977.6,AA0648TFBUVT,AA0648,F16C0Y165,AA0648TFBUVT,0.0
P013191,8.2,9.63,8.2,0.0,241.0,1976.2,AA0634QEYQIY,AA0634,F16C0Y165,AA0634QEYQIY,0.0
P013202,8.2,6.73,8.2,0.0,241.0,1976.2,AA0650QEYQIY,AA0650,F16C0Y165,AA0650QEYQIY,0.0
P018237,8.0,6.82,8.0,0.0,247.0,1976.0,AA0504TFBTOB,AA0504,F16C0Y165,AA0504TFBTOB,10.68
P020029,10.4,12.21,10.4,0.0,190.0,1976.0,AA0225TKEQEY,,,AA0225TKEQEY,0.0
P014727,46.2,45.19,22.2,24.0,89.0,1975.8,AA0317QTQTGP,super_AA0317,F16C0Y165,AA0317QTQTGP,17.8
